,title,release_year,runtime,genre,rating,metascore,gross(M)
0,The Shawshank Redemption,1994,142,Drama,9.3,82,28.34
1,The Godfather,1972,175,Crime,9.2,100,134.97
1,The Godfather,1972,175,Drama,9.2,100,134.97
2,The Dark Knight,2008,152,Action,9.0,84,534.86
2,The Dark Knight,2008,152,Crime,9.0,84,534.86
2,The Dark Knight,2008,152,Drama,9.0,84,534.86
3,Schindler's List,1993,195,Biography,9.0,95,96.9
3,Schindler's List,1993,195,Drama,9.0,95,96.9
3,Schindler's List,1993,195,History,9.0,95,96.9
4,12 Angry Men,1957,96,Crime,9.0,97,4.36
4,12 Angry Men,1957,96,Drama,9.0,97,4.36
5,The Godfather Part II,1974,202,Crime,9.0,90,57.3
5,The Godfather Part II,1974,202,Drama,9.0,90,57.3
6,The Lord of the Rings: The Return of the King,2003,201,Action,9.0,94,377.85
6,The Lord of the Rings: The Return of the King,2003,201,Adventure,9.0,94,377.85
6,The Lord of the Rings: The Return of the King,2003,201,Drama,9.0,94,377.85
7,Spider-Man: Across the Spider-Verse,2023,140,Animation,8.9,86,0.0
7,Spider-Man: Across the Spider-Verse,2023,140,Action,8.9,86,0.0
7,Spider-Man: Across the Spider-Verse,2023,140,Adventure,8.9,86,0.0
8,Pulp Fiction,1994,154,Crime,8.9,95,107.93
8,Pulp Fiction,1994,154,Drama,8.9,95,107.93
9,Inception,2010,148,Action,8.8,74,292.58
9,Inception,2010,148,Adventure,8.8,74,292.58
9,Inception,2010,148,Sci-Fi,8.8,74,292.58
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,92,315.54
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,Adventure,8.8,92,315.54
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,Drama,8.8,92,315.54
11,Fight Club,1999,139,Drama,8.8,67,37.03
12,Forrest Gump,1994,142,Drama,8.8,82,330.25
12,Forrest Gump,1994,142,Romance,8.8,82,330.25
13,"The Good, the Bad and the Ugly",1966,178,Adventure,8.8,90,6.1
13,"The Good, the Bad and the Ugly",1966,178,Western,8.8,90,6.1
14,The Lord of the Rings: The Two Towers,2002,179,Action,8.8,87,342.55
14,The Lord of the Rings: The Two Towers,2002,179,Adventure,8.8,87,342.55
14,The Lord of the Rings: The Two Towers,2002,179,Drama,8.8,87,342.55
15,Jai Bhim,2021,164,Crime,8.8,0,0.0
15,Jai Bhim,2021,164,Drama,8.8,0,0.0
15,Jai Bhim,2021,164,Mystery,8.8,0,0.0
16,777 Charlie,2022,164,Adventure,8.8,0,0.0
16,777 Charlie,2022,164,Comedy,8.8,0,0.0
16,777 Charlie,2022,164,Drama,8.8,0,0.0
17,Rocketry: The Nambi Effect,2022,157,Biography,8.8,0,0.0
17,Rocketry: The Nambi Effect,2022,157,Drama,8.8,0,0.0
18,Interstellar,2014,169,Adventure,8.7,74,188.02
18,Interstellar,2014,169,Drama,8.7,74,188.02
18,Interstellar,2014,169,Sci-Fi,8.7,74,188.02
19,Goodfellas,1990,145,Biography,8.7,92,46.84
19,Goodfellas,1990,145,Crime,8.7,92,46.84
19,Goodfellas,1990,145,Drama,8.7,92,46.84
20,The Matrix,1999,136,Action,8.7,73,171.48
20,The Matrix,1999,136,Sci-Fi,8.7,73,171.48
21,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,84,112.0
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.7,82,290.48
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,Adventure,8.7,82,290.48
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,Fantasy,8.7,82,290.48
23,Soorarai Pottru,2020,153,Action,8.7,0,0.0
23,Soorarai Pottru,2020,153,Drama,8.7,0,0.0
24,The Green Mile,1999,189,Crime,8.6,61,136.8
24,The Green Mile,1999,189,Drama,8.6,61,136.8
24,The Green Mile,1999,189,Fantasy,8.6,61,136.8
25,Terminator 2: Judgment Day,1991,137,Action,8.6,75,204.84
